method_id,path,aggregation,eligible,eligible_trajectories,reported_trajectories,update_events,final_state_accuracy,correct_change_precision,correct_change_recall,correct_change_f1,event_macro_update_accuracy,retention_after_update,confusion_tn,confusion_fp,confusion_fn,confusion_tp_correct,confusion_tp_wrong_value
fc_openrouter_gpt_oss_120b,cashflow.recent_one_off_expense,checkpoint_then_trajectory_macro,True,19,20,77,0.3175,0.07287449392712551,0.01592797783933518,0.021212121212121213,0.0,0.009035747262894077,121,0,256,6,17
fc_openrouter_gpt_oss_120b,education.child_education_stage,checkpoint_then_trajectory_macro,True,13,20,24,0.7025,0.05128205128205128,0.01282051282051282,0.020512820512820513,0.0,0.010683760683760684,279,8,110,2,1
fc_openrouter_gpt_oss_120b,education.self_education_status,checkpoint_then_trajectory_macro,True,10,20,10,0.61,0.0,0.0,0.0,0.0,0.0,244,0,156,0,0
fc_openrouter_gpt_oss_120b,employment.employer,checkpoint_then_trajectory_macro,True,19,20,82,0.25,0.06971975393028025,0.011476608187134503,0.017193648257265555,0.02631578947368421,0.01054720133667502,96,0,250,4,50
fc_openrouter_gpt_oss_120b,employment.employment_status,checkpoint_then_trajectory_macro,True,20,20,75,0.3825,0.279289248762933,0.14520833333333333,0.15100426257459507,0.09166666666666666,0.11626188354129531,114,22,189,39,36
fc_openrouter_gpt_oss_120b,employment.income_stability,checkpoint_then_trajectory_macro,True,20,20,72,0.3225,0.21970588235294117,0.07067982456140351,0.08733603211224694,0.0225,0.06364283592224769,107,18,194,22,59
fc_openrouter_gpt_oss_120b,employment.occupation,checkpoint_then_trajectory_macro,False,0,20,0,0.94,,,,,,376,24,0,0,0
fc_openrouter_gpt_oss_120b,employment.salary_account,checkpoint_then_trajectory_macro,True,20,20,61,0.47000000000000003,0.10972222222222222,0.0425,0.058584770114942536,0.04107142857142857,0.04313492063492064,171,6,191,17,15
fc_openrouter_gpt_oss_120b,employment.salary_day,checkpoint_then_trajectory_macro,True,20,20,90,0.17250000000000001,0.07580919080919081,0.02396436380956505,0.0328463598112967,0.06517857142857142,0.04666666666666666,61,10,261,8,60
fc_openrouter_gpt_oss_120b,financial_products.checking_accounts,checkpoint_then_trajectory_macro,False,0,20,0,1.0,,,,,,400,0,0,0,0
fc_openrouter_gpt_oss_120b,financial_products.loans,checkpoint_then_trajectory_macro,True,12,20,12,0.685,0.0,0.0,0.0,0.0,0.0,274,1,125,0,0
