method_id,trajectory_id,final_state_accuracy,dynamic_path_final_state_accuracy,value_accuracy,status_accuracy,changed_state_accuracy,unchanged_state_accuracy,exact_state_match,change_detection_precision,change_detection_recall,change_detection_f1,correct_change_precision,correct_change_recall,correct_change_f1,evidence_hit_rate,evidence_citation_precision
fc_openrouter_gpt_oss_120b,traj_001,0.6176470588235294,0.482,0.6264705882352941,0.8323529411764705,0.06676470588235295,0.9970588235294118,0.0,0.5416666666666666,0.12584500466853407,0.1840313192401293,0.15,0.06676470588235295,0.085421888053467,0.03,0.09090909090909091
fc_openrouter_gpt_oss_120b,traj_002,0.6897058823529412,0.588,0.7147058823529412,0.8720588235294118,0.14012896825396826,0.9560315332815332,0.05,0.5730555555555555,0.20839285714285713,0.2542471270559506,0.3461111111111111,0.14012896825396826,0.16755738705738704,0.10089285714285715,0.2357142857142857
fc_openrouter_gpt_oss_120b,traj_003,0.6088235294117647,0.502,0.6455882352941177,0.8485294117647059,0.16803125237335764,0.9011466867101878,0.0,0.7139880952380953,0.3390743905217589,0.4378249674302306,0.34235119047619045,0.16803125237335764,0.21368378697326065,0.07533910533910533,0.20964912280701756
fc_openrouter_gpt_oss_120b,traj_004,0.5970588235294118,0.454,0.6147058823529412,0.8014705882352942,0.07121212121212121,0.9958333333333333,0.0,0.74,0.09910524417103364,0.16211277081851855,0.32,0.07121212121212121,0.11074074074074074,0.0,0.0
fc_openrouter_gpt_oss_120b,traj_005,0.6058823529411764,0.466,0.6176470588235294,0.8147058823529412,0.05746839525283798,0.9964285714285714,0.0,0.625,0.08730585655314757,0.1435882897295941,0.4141666666666667,0.05746839525283798,0.0940556967187402,0.03249355005159959,0.3
fc_openrouter_gpt_oss_120b,traj_006,0.6588235294117647,0.536,0.6794117647058824,0.8838235294117647,0.06049560733384263,0.9901778711484593,0.0,0.9,0.09168178227001757,0.16418923182081077,0.625,0.06049560733384263,0.10892768780926676,0.04810064935064935,0.4
fc_openrouter_gpt_oss_120b,traj_007,0.7823529411764706,0.7040000000000001,0.8205882352941176,0.9014705882352941,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fc_openrouter_gpt_oss_120b,traj_008,0.6911764705882353,0.584,0.7058823529411765,0.8985294117647059,0.062146464646464644,0.9905231481481481,0.0,0.7166666666666667,0.12356402369560264,0.20736103765515532,0.325,0.062146464646464644,0.10249462955345308,0.025616883116883118,0.125
fc_openrouter_gpt_oss_120b,traj_009,0.6485294117647059,0.538,0.6705882352941177,0.8470588235294118,0.08963203463203463,0.9461127291218825,0.0,0.7196428571428571,0.1598133116883117,0.24351207959567092,0.4976190476190476,0.08963203463203463,0.14509950403913252,0.05946969696969697,0.4154761904761905
fc_openrouter_gpt_oss_120b,traj_010,0.6147058823529412,0.484,0.6514705882352941,0.8279411764705882,0.07044690603514132,0.98154899717324,0.0,0.7,0.08150496562261268,0.13902495603811393,0.5666666666666667,0.07044690603514132,0.11880273381589171,0.009453781512605041,0.1875
fc_openrouter_gpt_oss_120b,traj_011,0.6735294117647059,0.556,0.7558823529411764,0.8573529411764705,0.0043859649122807015,0.9978260869565218,0.05,0.125,0.012679425837320573,0.02277327935222672,0.05,0.0043859649122807015,0.008097165991902834,0.0,0.0
