method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_004,15,0.9705882352941176,1.0,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,30,0.9117647058823529,0.9705882352941176,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,45,0.9117647058823529,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,60,0.9117647058823529,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,75,0.7647058823529411,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,90,0.7647058823529411,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,105,0.7647058823529411,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,120,0.7352941176470589,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,135,0.5588235294117647,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,150,0.5588235294117647,0.7647058823529411,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,165,0.5588235294117647,0.7647058823529411,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,180,0.5,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,195,0.5,0.7352941176470589,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,210,0.4117647058823529,0.7058823529411765,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,225,0.4411764705882353,0.7058823529411765,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,240,0.4117647058823529,0.7058823529411765,0.0,,False
fc_openrouter_gpt_oss_120b,traj_004,255,0.38235294117647056,0.6764705882352942,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,270,0.4117647058823529,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,285,0.38235294117647056,0.6764705882352942,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_004,300,0.4411764705882353,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,15,0.8529411764705882,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,30,0.8235294117647058,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,45,0.8235294117647058,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,60,0.7647058823529411,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,75,0.7352941176470589,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,90,0.6764705882352942,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,105,0.6470588235294118,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_005,120,0.5588235294117647,0.7647058823529411,0.058823529411764705,1.0,False
