method_id,lag_type,lag,accuracy,events,trajectories,aggregation
fc_openrouter_gpt_oss_120b,exact_sessions,0,0.05630449489737415,369,20,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,1,0.25,4,4,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,4,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,5,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,7,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,9,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,10,0,3,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,11,0.25,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,12,0,3,3,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,13,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,14,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,15,0.07367450888643806,309,20,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,16,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,19,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,20,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,24,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,25,0,3,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,26,0.25,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,27,0,3,3,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,28,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,29,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,30,0.0789822451513628,251,20,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,31,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,34,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,35,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,39,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,40,0,2,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,41,0.25,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,42,0,3,3,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,43,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,44,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,45,0.05103871822621823,206,20,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,46,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_gpt_oss_120b,exact_sessions,49,1,1,1,event_lag_then_trajectory_macro
