method_id,trajectory_id,checkpoint,change_detection_f1,change_detection_precision,change_detection_recall,changed_path_count,changed_state_accuracy,correct_cell_count,correct_change_f1,correct_change_precision,correct_change_recall,dynamic_path_count,dynamic_path_final_state_accuracy,evidence_citation_precision,evidence_hit_rate,exact_state_match,final_state_accuracy,status_accuracy,unchanged_path_count,unchanged_state_accuracy,value_accuracy
fc_openrouter_gpt_oss_120b,traj_002,60,0.0,0.0,0.0,10,0.0,23,0.0,0.0,0.0,25,0.56,,0.0,False,0.6764705882352942,0.8529411764705882,24,0.9583333333333334,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_002,75,0.0,0.0,0.0,7,0.0,26,0.0,0.0,0.0,25,0.68,,0.0,False,0.7647058823529411,0.9411764705882353,27,0.9629629629629629,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_002,90,0.0,0.0,0.0,7,0.0,26,0.0,0.0,0.0,25,0.68,,0.0,False,0.7647058823529411,0.9411764705882353,27,0.9629629629629629,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_002,105,0.7000000000000001,0.5833333333333334,0.875,8,0.5,25,0.4,0.3333333333333333,0.5,25,0.72,0.3,0.375,False,0.7352941176470589,1.0,26,0.8076923076923077,0.7352941176470589
fc_openrouter_gpt_oss_120b,traj_002,120,0.19999999999999998,1.0,0.1111111111111111,9,0.1111111111111111,26,0.19999999999999998,1.0,0.1111111111111111,25,0.68,0.0,0.0,False,0.7647058823529411,0.9117647058823529,25,1.0,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_002,135,0.4,1.0,0.25,12,0.16666666666666666,24,0.26666666666666666,0.6666666666666666,0.16666666666666666,25,0.6,0.0,0.0,False,0.7058823529411765,0.8235294117647058,22,1.0,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_002,150,0.15384615384615385,1.0,0.08333333333333333,12,0.08333333333333333,23,0.15384615384615385,1.0,0.08333333333333333,25,0.56,0.0,0.0,False,0.6764705882352942,0.8235294117647058,22,1.0,0.7058823529411765
fc_openrouter_gpt_oss_120b,traj_002,165,0.2222222222222222,1.0,0.125,16,0.0625,19,0.1111111111111111,0.5,0.0625,25,0.4,0.0,0.0,False,0.5588235294117647,0.7941176470588235,18,1.0,0.5882352941176471
fc_openrouter_gpt_oss_120b,traj_002,180,0.56,0.7777777777777778,0.4375,16,0.125,18,0.16,0.2222222222222222,0.125,25,0.44,0.0,0.0,False,0.5294117647058824,0.7941176470588235,18,0.8888888888888888,0.5294117647058824
fc_openrouter_gpt_oss_120b,traj_002,195,0.0,0.0,0.0,12,0.0,22,0.0,0.0,0.0,25,0.52,,0.0,False,0.6470588235294118,0.8235294117647058,22,1.0,0.6764705882352942
fc_openrouter_gpt_oss_120b,traj_002,210,0.15384615384615385,0.2,0.125,8,0.0,22,0.0,0.0,0.0,25,0.52,0.0,0.0,False,0.6470588235294118,0.9117647058823529,26,0.8461538461538461,0.6470588235294118
fc_openrouter_gpt_oss_120b,traj_002,225,0.2857142857142857,0.4,0.2222222222222222,9,0.1111111111111111,23,0.14285714285714285,0.2,0.1111111111111111,25,0.56,0.0,0.0,False,0.6764705882352942,0.9117647058823529,25,0.88,0.6764705882352942
fc_openrouter_gpt_oss_120b,traj_002,240,0.25,0.5,0.16666666666666666,12,0.0,20,0.0,0.0,0.0,25,0.48,0.0,0.0,False,0.5882352941176471,0.7941176470588235,22,0.9090909090909091,0.6470588235294118
fc_openrouter_gpt_oss_120b,traj_002,255,0.0,0.0,0.0,12,0.0,21,0.0,0.0,0.0,25,0.48,,0.0,False,0.6176470588235294,0.8235294117647058,22,0.9545454545454546,0.6470588235294118
fc_openrouter_gpt_oss_120b,traj_002,270,0.0,0.0,0.0,14,0.0,19,0.0,0.0,0.0,25,0.4,,0.0,False,0.5588235294117647,0.7941176470588235,20,0.95,0.5882352941176471
fc_openrouter_gpt_oss_120b,traj_002,285,0.125,1.0,0.06666666666666667,15,0.0,19,0.0,0.0,0.0,25,0.4,0.0,0.0,False,0.5588235294117647,0.7941176470588235,19,1.0,0.5882352941176471
fc_openrouter_gpt_oss_120b,traj_002,300,0.11764705882352941,1.0,0.0625,16,0.0,18,0.0,0.0,0.0,25,0.36,0.0,0.0,False,0.5294117647058824,0.7941176470588235,18,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_003,15,0.0,0.0,0.0,5,0.0,29,0.0,0.0,0.0,25,0.8,,0.0,False,0.8529411764705882,0.8823529411764706,29,1.0,0.8529411764705882
fc_openrouter_gpt_oss_120b,traj_003,30,0.4444444444444444,0.6666666666666666,0.3333333333333333,6,0.3333333333333333,29,0.4444444444444444,0.6666666666666666,0.3333333333333333,25,0.84,0.5,0.16666666666666666,False,0.8529411764705882,0.8823529411764706,28,0.9642857142857143,0.8529411764705882
fc_openrouter_gpt_oss_120b,traj_003,45,0.4444444444444444,0.6666666666666666,0.3333333333333333,6,0.16666666666666666,28,0.2222222222222222,0.3333333333333333,0.16666666666666666,25,0.8,0.5,0.16666666666666666,False,0.8235294117647058,0.8823529411764706,28,0.9642857142857143,0.8235294117647058
fc_openrouter_gpt_oss_120b,traj_003,60,0.5454545454545454,0.75,0.42857142857142855,7,0.14285714285714285,27,0.18181818181818182,0.25,0.14285714285714285,25,0.76,0.3333333333333333,0.14285714285714285,False,0.7941176470588235,0.8823529411764706,27,0.9629629629629629,0.8235294117647058
fc_openrouter_gpt_oss_120b,traj_003,75,0.7999999999999999,0.75,0.8571428571428571,7,0.7142857142857143,30,0.6666666666666666,0.625,0.7142857142857143,25,0.92,0.6,0.42857142857142855,False,0.8823529411764706,0.9705882352941176,27,0.9259259259259259,0.9117647058823529
fc_openrouter_gpt_oss_120b,traj_003,90,0.3636363636363636,1.0,0.2222222222222222,9,0.2222222222222222,27,0.3636363636363636,1.0,0.2222222222222222,25,0.72,0.5,0.1111111111111111,False,0.7941176470588235,0.8529411764705882,25,1.0,0.7941176470588235
fc_openrouter_gpt_oss_120b,traj_003,105,0.5555555555555556,0.8333333333333334,0.4166666666666667,12,0.3333333333333333,25,0.4444444444444444,0.6666666666666666,0.3333333333333333,25,0.68,0.25,0.08333333333333333,False,0.7352941176470589,0.9117647058823529,22,0.9545454545454546,0.7647058823529411
