report_schema_version,model_scale,provider_family,model_display_name,method_id,source_run_dir,items,headline_metric,strict_pair_f1,strict_pair_f1_ci95_low,strict_pair_f1_ci95_high,exact_pair_set_match,exact_pair_set_ci95_low,exact_pair_set_ci95_high,parse_success_rate,schema_success_rate,event_id_only_f1,evidence_session_only_f1,absolute_pair_count_error,strict_pair_f1_early,strict_pair_f1_middle,strict_pair_f1_late,exact_pair_set_early,exact_pair_set_middle,exact_pair_set_late,strict_pair_f1_cp015,exact_pair_set_cp015,strict_pair_f1_cp030,exact_pair_set_cp030,strict_pair_f1_cp045,exact_pair_set_cp045,strict_pair_f1_cp060,exact_pair_set_cp060,strict_pair_f1_cp075,exact_pair_set_cp075,strict_pair_f1_cp090,exact_pair_set_cp090,strict_pair_f1_cp105,exact_pair_set_cp105,strict_pair_f1_cp120,exact_pair_set_cp120,strict_pair_f1_cp135,exact_pair_set_cp135,strict_pair_f1_cp150,exact_pair_set_cp150,strict_pair_f1_cp165,exact_pair_set_cp165,strict_pair_f1_cp180,exact_pair_set_cp180,strict_pair_f1_cp195,exact_pair_set_cp195,strict_pair_f1_cp210,exact_pair_set_cp210,strict_pair_f1_cp225,exact_pair_set_cp225,strict_pair_f1_cp240,exact_pair_set_cp240,strict_pair_f1_cp255,exact_pair_set_cp255,strict_pair_f1_cp270,exact_pair_set_cp270,strict_pair_f1_cp285,exact_pair_set_cp285,strict_pair_f1_cp300,exact_pair_set_cp300
stage1_pair_report-v1,large,GPT,GPT 5.6 Sol,fc_gpt_5_6_sol,experiment/runs/stage1_api3_combined/0731_1551,400,strict_occurred_event_evidence_f1,0.6785490565451485,0.613641714034062,0.7397826325151188,0.0675,0.030000000000000002,0.115,1.0,0.9825,0.8171550487508408,0.7519930725800584,1.555,0.6200167887667888,0.6897981194157905,0.7174705089131007,0.20833333333333334,0.0071428571428571435,0.0071428571428571435,0.5333333333333333,0.5,0.6316666666666666,0.35,0.645952380952381,0.15,0.6259523809523809,0.1,0.6553715728715729,0.1,0.6278243978243978,0.05,0.6854578754578754,0.0,0.6920981469510881,0.05,0.6870231338149295,0.0,0.6709115927072584,0.0,0.6933540867980227,0.0,0.6906432583434872,0.0,0.7090987418378722,0.0,0.690579734552748,0.0,0.7029324700759628,0.0,0.7433851435457386,0.05,0.7289408190720924,0.0,0.722934603405134,0.0,0.7060227989710912,0.0,0.7274979927689378,0.0
stage1_pair_report-v1,large,Claude,Claude Opus 4.8,fc_claude_opus_4_8,experiment/runs/stage1_api3_combined/0731_1551,400,strict_occurred_event_evidence_f1,0.5339824021954279,0.47492133416911325,0.5862141918944286,0.05,0.030000000000000002,0.07,1.0,0.7825,0.629899002790963,0.599026577101653,4.825,0.5626016113516114,0.557334075008762,0.48609997867679366,0.16666666666666666,0.0,0.0,0.6,0.6,0.5933333333333334,0.25,0.5985714285714285,0.15,0.5284523809523809,0.0,0.5851334776334777,0.0,0.4701190476190476,0.0,0.5512182262182261,0.0,0.5164912864912865,0.0,0.5138672112201524,0.0,0.6377092240404932,0.0,0.5313051151634742,0.0,0.5677140256282807,0.0,0.583033436299421,0.0,0.4864930941801651,0.0,0.5821119883365011,0.0,0.46918500742103264,0.0,0.4086114876674333,0.0,0.4829934086635978,0.0,0.3433485825352392,0.0,0.6299562819335864,0.0
stage1_pair_report-v1,large,Gemini,Gemini 3.1 Pro,fc_gemini_3_1_pro,experiment/runs/stage1_api3_combined/0731_1551,400,strict_occurred_event_evidence_f1,0.7481962875191871,0.6898195705020972,0.7992743128108141,0.1125,0.06,0.17750000000000002,1.0,0.9525,0.8256687046467941,0.8032874303281201,2.19,0.7164703814703816,0.7839154325644528,0.7396707762300405,0.30833333333333335,0.042857142857142864,0.014285714285714287,0.6,0.6,0.7433333333333334,0.5,0.7076190476190476,0.3,0.7424603174603175,0.2,0.7486868686868686,0.15,0.7567227217227217,0.1,0.7884623709623709,0.05,0.806350463262228,0.05,0.7720063025210084,0.0,0.8069827141382868,0.1,0.7859789625579099,0.05,0.7752836884701872,0.05,0.7523435260391782,0.0,0.7780010223271093,0.0,0.7318295109908013,0.0,0.7323471394398512,0.0,0.7814294823450667,0.1,0.7016499875381476,0.0,0.7427323845135642,0.0,0.7097059064557432,0.0
stage1_pair_report-v1,small,GPT,GPT 5.6 Terra,fc_gpt_5_6_terra,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.6632514250670967,0.604535940909051,0.7203511473439924,0.065,0.0275,0.1125,1.0,0.895,0.7897506257407606,0.7385290109488705,1.975,0.6089478114478114,0.6748070163810939,0.6982417882839155,0.18333333333333335,0.014285714285714287,0.014285714285714287,0.45,0.45,0.63,0.3,0.6864285714285714,0.25,0.6053968253968254,0.05,0.6215584415584415,0.0,0.6603030303030303,0.05,0.6411247086247086,0.0,0.678546110751993,0.05,0.682312091503268,0.0,0.6678990368077055,0.0,0.6927447406394774,0.0,0.6897883295194508,0.0,0.6712340968210533,0.05,0.7108878585182933,0.05,0.692777692350406,0.0,0.722653253772553,0.0,0.7100994510117392,0.05,0.6803395619126742,0.0,0.6783821796455374,0.0,0.692552520776205,0.0
stage1_pair_report-v1,small,GPT,GPT 5.6 Luna,fc_gpt_5_6_luna,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.6293930015391678,0.5762264593780061,0.6787968451010773,0.065,0.04,0.09,1.0,0.865,0.7261681908617708,0.7116956844627954,3.5225,0.6564604377104377,0.6293616515389394,0.6062236919640219,0.21666666666666667,0.0,0.0,0.6,0.6,0.6849999999999999,0.3,0.6714285714285715,0.2,0.6733730158730158,0.1,0.705930735930736,0.1,0.603030303030303,0.0,0.6406321456321457,0.0,0.6661309523809524,0.0,0.5977248078718668,0.0,0.6494161875276425,0.0,0.5980669197503563,0.0,0.6215930010448115,0.0,0.6319675465648006,0.0,0.6097051464934761,0.0,0.6281007612799218,0.0,0.6268049882262776,0.0,0.6008629852823402,0.0,0.5796979306844434,0.0,0.5981287763557688,0.0,0.6002652554259258,0.0
stage1_pair_report-v1,small,Claude,Claude Sonnet 4.6,fc_claude_sonnet_4_6,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.720179087350757,0.6578259473642214,0.7737830681451385,0.0825,0.0425,0.125,0.9975,0.9025,0.7776467306838433,0.7721441375772254,2.605,0.656528379028379,0.7419209238639368,0.7529950008281868,0.25,0.0071428571428571435,0.014285714285714287,0.65,0.65,0.61,0.3,0.695952380952381,0.3,0.6525396825396825,0.1,0.664978354978355,0.05,0.6656998556998557,0.1,0.7515401265401265,0.05,0.7115875790875791,0.0,0.7414835164835165,0.0,0.7602880976952184,0.0,0.732758151721,0.0,0.7623548743400002,0.0,0.7334341211801166,0.0,0.7578154438154439,0.05,0.752716285324981,0.0,0.7611925344512942,0.05,0.7502689255497932,0.0,0.7280429585627355,0.0,0.7578731707591797,0.0,0.76305568733388,0.0
stage1_pair_report-v1,small,Gemini,Gemini 3.5 Flash,fc_gemini_3_5_flash,experiment/runs/stage1_small4/0731_1101,400,strict_occurred_event_evidence_f1,0.4875686866279389,0.4411980384857206,0.5325709521421699,0.052500000000000005,0.030000000000000002,0.0775,1.0,0.7125,0.576564633376371,0.5719318293283119,5.3575,0.5503815166315166,0.4664445763583313,0.4548532283230512,0.17500000000000002,0.0,0.0,0.6,0.6,0.6166666666666667,0.25,0.6,0.15,0.5691666666666666,0.05,0.4644047619047619,0.0,0.45205100455100455,0.0,0.5129817404817405,0.0,0.4923529248529248,0.0,0.4526981351981352,0.0,0.44822302697302696,0.0,0.4034262551174316,0.0,0.5070213798368665,0.0,0.44840857204819384,0.0,0.5278563969774963,0.0,0.43049089571979604,0.0,0.45933657790293714,0.0,0.44519933825316615,0.0,0.43449981393110937,0.0,0.44088711393929747,0.0,0.4457024615375561,0.0
