report_schema_version,model_scale,provider_family,model_display_name,method_id,source_run_dir,items,headline_metric,gca15,gca15_ci95_low,gca15_ci95_high,gca15_initial_copy_lift,gca15_value_precision,gca15_value_recall,gca15_label_precision,gca15_label_recall,gca15_correct,gca15_wrong,gca15_overshot,gca15_missed,final_state_accuracy,final_state_initial_copy_lift,retention_after_update,evidence_hit_rate,exact_state_match,parse_success_rate,schema_success_rate,gca15_early,gca15_middle,gca15_late,gca15_late_minus_early,gca15_cp015,gca15_cp030,gca15_cp045,gca15_cp060,gca15_cp075,gca15_cp090,gca15_cp105,gca15_cp120,gca15_cp135,gca15_cp150,gca15_cp165,gca15_cp180,gca15_cp195,gca15_cp210,gca15_cp225,gca15_cp240,gca15_cp255,gca15_cp270,gca15_cp285,gca15_cp300,retention_0,retention_1_15,retention_16_30,retention_31_60,retention_61_120,retention_121_180,retention_181_240,retention_241_plus
stage2_gca15_report-v2,large,GPT,GPT 5.6 Sol,fc_gpt_5_6_sol,experiment/runs/stage2_2_combined/0731_1550,400,GCA@15,0.41287318851243443,0.39193730187905523,0.4330956430701941,0.23599723139145432,0.39012168933428776,0.3898426323319027,1.0,0.9992846924177397,1090,1704,0,2,0.7485294117647059,0.07999999999999996,0.6524480016859442,0.7147185626873127,0.0125,1.0,0.995,0.47353939200970646,0.41492697786936655,0.378687299105878,-0.09485209290382846,0.5376486129458388,0.4904458598726115,0.48979591836734687,0.478584542105174,0.36608557844690964,0.515201314708299,0.49787835926449797,0.44060773480662985,0.36369307548346846,0.41214470284237725,0.4010416666666667,0.4257178526841448,0.3788437884378844,0.447039895305665,0.3298059964726631,0.4699837750135208,0.2914356130622304,0.37414965986394555,0.36828806064434616,0.3588301462317211,0.7665042190852949,0.678774254207981,0.6238733989095508,0.5675792408649551,0.5064017666361417,0.37590277777777775,0.2962962962962963,0.14166666666666666
stage2_gca15_report-v2,large,Claude,Claude Opus 4.8,fc_claude_opus_4_8,experiment/runs/stage2_2_combined/0731_1550,400,GCA@15,0.46977965001192745,0.44320791930561726,0.496968693751529,0.2929036928909473,0.45338645418326695,0.43989176652493234,1.0,0.9702357943563974,1138,1372,0,77,0.8013235294117647,0.13279411764705873,0.7277179357156296,0.7669523949025691,0.0175,0.9975,0.965,0.4958796715615673,0.4807627925735046,0.44645959953926834,-0.04942007202229898,0.5598349381017882,0.5163584637268849,0.47311827956989244,0.45340501792114696,0.3957255778828722,0.6010407632263659,0.475873544093178,0.5196156925540433,0.4671107410491257,0.4660465306553847,0.5302013422818792,0.42293231751005744,0.4730494338462524,0.5426235839797036,0.4402305235065282,0.48569421130903734,0.37198404368882226,0.44322344322344315,0.40485624478271176,0.4181905475216532,0.7695731751765034,0.7596192520642985,0.7297201158500178,0.6731997926015784,0.6390820444987112,0.4917361111111111,0.42724171539961014,0.4083333333333333
stage2_gca15_report-v2,large,Gemini,Gemini 3.1 Pro,fc_gemini_3_1_pro,experiment/runs/stage2_2_combined/0731_1550,400,GCA@15,0.4382944998319773,0.4176430783613658,0.4590874599388597,0.2614185427109972,0.417711389703921,0.4125395152792413,1.0,0.9876185458377239,1566,2183,0,47,0.7667647058823529,0.09823529411764698,0.6703225523539347,0.7129873957526821,0.030000000000000002,0.9975,0.9875,0.493632504548211,0.4375668760619162,0.4175105610354419,-0.07612194351276913,0.5866666666666667,0.5756718528995757,0.448441247002398,0.484621778886118,0.44864048338368584,0.49301983835415136,0.4308445532435741,0.41966684578183777,0.45984030061061537,0.5081967213114755,0.2720876370031147,0.5039430560146957,0.4877675840978594,0.42555685814771405,0.40593982607079643,0.4553376906318083,0.33014354066985646,0.4396551724137931,0.4941125163541212,0.3572104669165756,0.7381628499352958,0.666052526284918,0.6517262205840637,0.5849176732658875,0.5619149581128747,0.4634375,0.5107699805068227,0.5083333333333333
stage2_gca15_report-v2,small,GPT,GPT 5.6 Terra,fc_gpt_5_6_terra,experiment/runs/stage2_2_combined/0731_1914,400,GCA@15,0.41137958856188467,0.3947452962255513,0.4275951775983496,0.23450363144090455,0.3887922032718413,0.3882516510253737,1.0,0.9986096628432395,1117,1756,0,4,0.7471323529411764,0.07860294117647049,0.6515945436824919,0.606349393865938,0.0175,1.0,0.99,0.4680851063829788,0.3941929748013615,0.39812044355247234,-0.06996466283050645,0.48087431693989074,0.46959896507115145,0.4671107410491257,0.48003714020427113,0.3986820428336079,0.5157571099154497,0.4444444444444444,0.4245091401489506,0.38668661181750186,0.41250000000000003,0.36539414972731776,0.4306656293153904,0.30734295771714293,0.43377148634984836,0.4245091401489506,0.39424533064109035,0.3433799784714748,0.2708756160103368,0.4588500563697859,0.4534006900540476,0.7248713296722198,0.6674905440921308,0.6393052134185713,0.5697408821337393,0.5370732431149098,0.39468749999999997,0.3612085769980507,0.1
stage2_gca15_report-v2,small,GPT,GPT 5.6 Luna,fc_gpt_5_6_luna,experiment/runs/stage2_2_combined/0731_1914,400,GCA@15,0.4609054799453001,0.43598280581723353,0.48369014566566443,0.28402952282432004,0.45083056478405314,0.4263273641218976,1.0,0.9456487590323595,1357,1653,0,173,0.7705882352941177,0.10205882352941176,0.6549084561356532,0.6134434262418008,0.030000000000000002,0.9875,0.9775,0.5161070821344007,0.4682552089604489,0.4237258221769605,-0.09238125995744023,0.3686817037402341,0.5681872951931626,0.5650527647236783,0.573082489146165,0.44784262249461293,0.49335548172757476,0.4639027877055039,0.5276752767527676,0.4373593398349587,0.41049385122424176,0.40096296820788785,0.6058315334773218,0.43793911007025754,0.4772608468374282,0.3544163729856895,0.5515911282545806,0.3442622950819672,0.33175635718509755,0.4382022471910112,0.4489795918367347,0.6770626187609546,0.6496964794071025,0.636365895995798,0.6064708789887361,0.5957291666666666,0.5275347222222222,0.4965399610136452,0.39444444444444443
stage2_gca15_report-v2,small,Claude,Claude Sonnet 4.6,fc_claude_sonnet_4_6,experiment/runs/stage2_2_combined/0731_1914,400,GCA@15,0.379410547952324,0.3568277453996767,0.40201686187935026,0.20253459083134387,0.38231292517006804,0.33906485671191555,1.0,0.8868778280542986,1124,1816,0,375,0.7113235294117647,0.04279411764705876,0.6300262269884448,0.7432999485357263,0.0125,0.9725,0.97,0.4411114619513735,0.3659539300691583,0.36134645875854055,-0.07976500319283297,0.4782608695652174,0.4375857338820302,0.4407345575959933,0.42911512844909616,0.41666666666666663,0.45572705117790413,0.42876344086021506,0.3966712898751734,0.32673267326732675,0.3835270338554826,0.3822393822393822,0.35576024496742675,0.28810829811410216,0.4143851480635501,0.4016653841200555,0.410069216834816,0.32629462041226753,0.3055555555555555,0.28711331538857454,0.3290834774131154,0.7643496168935411,0.6905282242339131,0.5899775102121916,0.5344588691731549,0.4132762260887261,0.35131944444444446,0.24961013645224173,0.1
stage2_gca15_report-v2,small,Gemini,Gemini 3.5 Flash,fc_gemini_3_5_flash,experiment/runs/stage2_2_combined/0731_1914,400,GCA@15,0.4122212782750072,0.3894557600553343,0.4348258348011854,0.2353453211540271,0.39014647137150466,0.3885941644562334,1.0,0.9960212201591512,1172,1832,0,12,0.7540441176470588,0.08551470588235288,0.584910621928458,0.6133419811719928,0.0175,1.0,0.9775,0.46633416458852867,0.4015386708188295,0.39742641968471853,-0.06890774490381013,0.5945945945945946,0.4782608695652174,0.424892703862661,0.43555181128896386,0.5098039215686275,0.41272430668841764,0.4489795918367347,0.44656007751196397,0.36352509179926557,0.4117647058823529,0.3511144656033239,0.3711656441717791,0.44003866813991055,0.4382022471910112,0.36627282491944146,0.43845550158094554,0.3197278911564626,0.3296089385474861,0.4321541921454922,0.43795512349781973,0.6512652515684636,0.5884418478480011,0.5342726301929733,0.5393026041418899,0.4771023796805047,0.35107638888888887,0.3983187134502924,0.4916666666666667
stage2_gca15_report-v2,open-weight,Llama,Llama 4 Maverick,fc_openrouter_llama_4_maverick,experiment/runs/stage2_2/0801_0514,400,GCA@15,0.32106645279643736,0.2982551483560251,0.34378225746954194,0.14419049567545725,0.3030847559149446,0.2984370392214686,1.0,0.9846652904747862,1012,2327,0,52,0.6715441176470588,0.003014705882352864,0.39661812097467025,0.376076133232093,0.0125,0.9975,0.9625,0.3609885809591504,0.33366543724259135,0.28921222721200884,-0.07177635374714153,0.3283582089552239,0.3548387096774194,0.31875335605048394,0.2603394345828695,0.4404517453798768,0.41331575477916943,0.24956369982547996,0.41250000000000003,0.3165467625899281,0.30727137306732794,0.2528530875238112,0.35689455388180763,0.4228638838110442,0.35655539429124333,0.2922135043716205,0.3150116764897454,0.29037621211821624,0.23785356890138537,0.2370417602321348,0.2955700798838054,0.3806068009074975,0.44190865581500255,0.41295026478604907,0.3888463322391894,0.4103579377798128,0.2992708333333333,0.27441520467836256,0.2583333333333333
stage2_gca15_report-v2,open-weight,OpenAI,GPT-OSS 120B,fc_openrouter_gpt_oss_120b,experiment/runs/stage2_2/0801_0514_02,400,GCA@15,0.24868691482073535,0.22311255790659823,0.2731469927626654,0.07181095769975523,0.23130841121495327,0.23130841121495327,1.0,1.0,396,1316,0,0,0.6739705882352941,0.0054411764705881716,0.06801959985421431,0.034895679559089,0.0125,1.0,1.0,0.21568627450980396,0.24864692773002228,0.26610491981516715,0.05041864530536319,0.15492957746478875,0.2391304347826087,0.08029197080291972,0.1858678955453149,0.309462915601023,0.3013698630136986,0.2711682743837085,0.25287356321839083,0.18741808650065533,0.13414634146341461,0.2783505154639176,0.31919642857142855,0.2711682743837085,0.2938931297709924,0.29316338354577065,0.1896551724137931,0.2658907788719785,0.20454545454545456,0.26335174953959484,0.3548387096774193,0.05630449489737415,0.07977260210764468,0.0836198736584766,0.06056047424797425,0.06179258241758241,0.02201388888888889,0.018421052631578946,0
stage2_gca15_report-v2,open-weight,Qwen,Qwen 3.5 122B A10B,fc_openrouter_qwen_3_5_122b_a10b,experiment/runs/stage2_2/0801_0514_03,400,GCA@15,0.4518983256052665,0.4359748526001553,0.4686357791415756,0.2750223684842864,0.42884510125889436,0.42802512974597107,1.0,0.9980879541108987,1567,2087,0,7,0.6813970588235294,0.012867647058823484,0.6513941798122527,0.5519677627583974,0.02,1.0,0.99,0.4440921581061087,0.46555318525822414,0.44385582003972673,-0.0002363380663819581,0.3088552915766739,0.4308943089430895,0.45298094652735094,0.39304943710230056,0.4661529994496423,0.5577830188679246,0.5008228195282501,0.36740890688259115,0.4487320837927233,0.5004945598417408,0.4536082474226804,0.5258293078109305,0.45412844036697253,0.528604118993135,0.4408708560118754,0.4292682926829268,0.3548387096774193,0.40822098256024,0.45656824989302525,0.47683109118086703,0.639885870722558,0.713475730474376,0.700584048281965,0.6471536974929832,0.5589588950786868,0.44756944444444446,0.408869395711501,0.35
