model,trajectory_id,plan_sha256,checkpoint,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct,parse_error
GPT-5.6 Sol,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,120,92.000000,81.481481,
GPT-5.6 Sol,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,180,72.000000,60.606061,
GPT-5.6 Sol,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,240,72.000000,65.116279,
GPT-5.6 Sol,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,300,72.000000,66.666667,
GPT-5.6 Sol,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,60,76.000000,62.068966,
GPT-5.6 Sol,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,120,92.000000,80.000000,
GPT-5.6 Sol,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,180,80.000000,66.666667,
GPT-5.6 Sol,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,240,60.000000,46.153846,
GPT-5.6 Sol,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,300,72.000000,50.000000,
GPT-5.6 Sol,macro_average,trajectory_macro_average,60,84.000000,64.123999,
GPT-5.6 Sol,macro_average,trajectory_macro_average,120,93.333333,79.223986,
GPT-5.6 Sol,macro_average,trajectory_macro_average,180,69.333333,53.852814,
GPT-5.6 Sol,macro_average,trajectory_macro_average,240,65.333333,48.201153,
GPT-5.6 Sol,macro_average,trajectory_macro_average,300,66.666667,49.641577,
