method_id,lag_type,lag,accuracy,events,trajectories,aggregation
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,0,0.5258687937163169,369,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,1,0.875,4,4,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,4,1,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,5,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,7,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,9,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,10,0.5,3,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,11,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,12,0.5,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,13,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,14,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,15,0.610787127072489,309,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,16,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,19,1,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,20,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,24,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,25,0.375,3,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,26,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,27,0.5,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,28,0.25,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,29,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,30,0.5676682842134523,251,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,31,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,34,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,35,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,39,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,40,0.75,2,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,41,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,42,0.5,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,43,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,44,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,45,0.5435731166981167,206,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,46,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,49,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,50,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,54,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,55,1,2,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,56,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,57,0.6666666666666666,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,58,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,59,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,60,0.5115085076960076,168,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,61,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,64,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,71,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,72,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,73,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,74,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,75,0.546848544973545,130,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,79,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,87,0.75,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,88,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,89,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,90,0.497723544973545,111,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,94,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,102,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,103,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,104,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,105,0.4282638888888889,92,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,109,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,118,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,119,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,120,0.43854166666666666,77,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,124,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,134,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,135,0.4315277777777778,63,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,149,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,150,0.4294444444444444,54,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,165,0.3584795321637427,48,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,180,0.3941520467836257,42,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,195,0.2909356725146199,38,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,210,0.42745098039215684,32,17,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,225,0.3388888888888889,22,15,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,240,0.48717948717948717,17,13,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,255,0.45,12,10,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,270,0.4,7,5,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,exact_sessions,285,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,0,0.5258687937163169,369,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,1-15,0.6095673504557019,331,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,16-30,0.567555041749282,269,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,31-60,0.5427441705120276,221,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,61-120,0.508704911986162,138,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,121-180,0.42385416666666664,66,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,181-240,0.35557992202729044,38,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_6_35b_a3b_fp8,session_bucket,241+,0.45,12,10,event_lag_then_trajectory_macro
