method_id,lag_type,lag,accuracy,events,trajectories,aggregation
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,105,0.5199761904761905,92,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,109,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,118,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,119,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,120,0.47180555555555553,77,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,124,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,134,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,135,0.4695138888888889,63,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,149,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,150,0.4519444444444444,54,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,165,0.4257309941520468,48,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,180,0.48625730994152044,42,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,195,0.43450292397660817,38,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,210,0.5088235294117647,32,17,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,225,0.4666666666666667,22,15,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,240,0.38461538461538464,17,13,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,255,0.35,12,10,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,270,0.4,7,5,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,285,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,0,0.639885870722558,369,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,1-15,0.713475730474376,331,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,16-30,0.700584048281965,269,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,31-60,0.6471536974929832,221,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,61-120,0.5589588950786868,138,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,121-180,0.44756944444444446,66,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,181-240,0.408869395711501,38,19,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,session_bucket,241+,0.35,12,10,event_lag_then_trajectory_macro
