method_id,trajectory_id,checkpoint,latency_seconds,input_tokens,output_tokens,memory_inference_input_tokens,memory_inference_output_tokens,memory_inference_usage_scope,estimated_cost_usd,routed_provider,embedding_document_calls,embedding_query_calls,memory_inference_calls,memory_search_calls,letta_tool_calls,component_call_scope
fc_openrouter_qwen_3_5_122b_a10b,traj_001,15,39.421695,5137,5462,,,,0.019533199999999997,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,30,23.277691,8218,2877,,,,0.0124936,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,45,21.22847,11171,2840,,,,0.0135564,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,60,84.388861,14213,10178,,,,0.0382548,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,75,24.488049,17242,3080,,,,0.016752799999999998,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,90,95.075018,20373,10156,,,,0.0406484,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,105,53.128823,23455,4419,,,,0.023522799999999996,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,120,62.713727,26581,5381,,,,0.0278516,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,135,92.934762,29511,8728,,,,0.039734,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,150,89.075019,32731,12502,,,,0.053098799999999995,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,165,64.857374,35734,9020,,,,0.0431576,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,180,93.723992,38658,10100,,,,0.0477832,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,195,98.899424,41696,10219,,,,0.0493792,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,210,81.063317,44658,9702,,,,0.0489096,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,225,88.171466,47604,10579,,,,0.052894399999999994,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,240,111.999276,50706,13049,,,,0.062039199999999996,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,255,102.804936,53591,12268,,,,0.060694,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,270,87.553488,56553,10328,,,,0.05567079999999999,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,285,105.381662,59803,12087,,,,0.0625996,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_001,300,117.226248,62896,13517,,,,0.0684128,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,15,60.516851,5138,7683,,,,0.0266408,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,30,56.057805,8274,7063,,,,0.0259112,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,45,80.354272,11613,9711,,,,0.0357204,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,60,99.141573,14721,10499,,,,0.0394852,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,75,31.887959,17803,2714,,,,0.015806,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,90,39.500663,20786,3104,,,,0.018247199999999998,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,105,119.64415,23948,10955,,,,0.0446352,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,120,89.883233,27302,9756,,,,0.04214,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,135,52.135313,30573,5777,,,,0.0307156,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,150,90.621616,33618,10652,,,,0.047533599999999995,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,165,109.256082,36768,11793,,,,0.0524448,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,180,88.839007,39591,10510,,,,0.049468399999999996,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,195,100.219547,42707,11733,,,,0.054628399999999994,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,210,79.77581,45874,9584,,,,0.049018400000000004,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,225,96.202349,48915,11099,,,,0.0550828,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_5_122b_a10b,traj_002,240,132.006723,51950,15133,,,,0.0692056,Novita,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
