method_id,trajectory_id,final_state_accuracy,dynamic_path_final_state_accuracy,value_accuracy,status_accuracy,changed_state_accuracy,unchanged_state_accuracy,exact_state_match,change_detection_precision,change_detection_recall,change_detection_f1,correct_change_precision,correct_change_recall,correct_change_f1,evidence_hit_rate,evidence_citation_precision
fc_openrouter_qwen_3_5_122b_a10b,traj_001,0.7852941176470588,0.796,0.8779411764705882,0.8720588235294118,0.7145354808590103,0.8084041972606748,0.05,0.7898005027009604,0.884077964519141,0.8242545508555525,0.6284140631594864,0.7145354808590103,0.6608420333488786,0.5759646358543418,0.4698655674164
fc_openrouter_qwen_3_5_122b_a10b,traj_002,0.6397058823529412,0.626,0.8338235294117647,0.7455882352941177,0.6444940476190476,0.6470043876688614,0.0,0.5438447103833932,0.8875595238095239,0.645164651673594,0.3716971974291095,0.6444940476190476,0.4507713029985996,0.6350892857142857,0.612062324929972
fc_openrouter_qwen_3_5_122b_a10b,traj_003,0.6338235294117647,0.648,0.8352941176470589,0.7867647058823529,0.6816858433963697,0.5979514449551635,0.0,0.6360118229198395,0.901229399255715,0.7248496718840691,0.4956431697277451,0.6816858433963697,0.5569096064656698,0.572379243563454,0.49875771917962586
fc_openrouter_qwen_3_5_122b_a10b,traj_004,0.7132352941176471,0.73,0.8617647058823529,0.8029411764705883,0.8492789739500266,0.6021061138682107,0.0,0.6543133515121344,0.9822890559732664,0.7663909334316357,0.5596772142101757,0.8492789739500266,0.6562046560092276,0.6517795435558593,0.528340894079024
fc_openrouter_qwen_3_5_122b_a10b,traj_005,0.7323529411764705,0.752,0.8294117647058823,0.8867647058823529,0.6924533122965786,0.7305051410577726,0.05,0.7796116766864849,0.8771280695139054,0.8160368530774129,0.6205728466617213,0.6924533122965786,0.6471303455069057,0.5857351618110133,0.5080468733324361
fc_openrouter_qwen_3_5_122b_a10b,traj_006,0.6911764705882353,0.6960000000000001,0.8058823529411765,0.8426470588235294,0.6036700554347613,0.7294424070455072,0.0,0.6666178977671945,0.8950740109563639,0.7599109802069038,0.4511867570834962,0.6036700554347613,0.5135216283780575,0.6253442554177848,0.6074531488463377
fc_openrouter_qwen_3_5_122b_a10b,traj_007,0.7264705882352941,0.724,0.8602941176470588,0.8382352941176471,0.3129148629148629,0.8095717530220904,0.05,0.39541296938355763,0.5070764031290347,0.44926845000071547,0.2449446631799573,0.3129148629148629,0.2778746823140416,0.31951659451659453,0.5709306318681319
fc_openrouter_qwen_3_5_122b_a10b,traj_008,0.6558823529411765,0.634,0.7764705882352941,0.8308823529411765,0.4542384370015949,0.7272852254428341,0.0,0.6018752672093465,0.7217553353079669,0.6419008873681308,0.39745125594070607,0.4542384370015949,0.41297991878607304,0.3860475051264525,0.4060103364523136
fc_openrouter_qwen_3_5_122b_a10b,traj_009,0.6544117647058824,0.654,0.7529411764705882,0.8147058823529412,0.4600730519480519,0.74409144382582,0.0,0.6122950853755807,0.7049053030303031,0.6393889051769487,0.4209020619043839,0.4600730519480519,0.4266763922470444,0.5557656926406926,0.6551857333842628
fc_openrouter_qwen_3_5_122b_a10b,traj_010,0.7264705882352941,0.73,0.7911764705882353,0.8529411764705882,0.6721352177234531,0.7368064738103897,0.0,0.753968314982331,0.8790361599185128,0.7982470351442542,0.5857614959199627,0.6721352177234531,0.6160098834540004,0.41429887106357693,0.3955966457862743
