method_id,trajectory_id,checkpoint,visible_prefix_size,retrieved_evidence_count,visible_prefix_recall,visible_prefix_complete
fc_openrouter_gpt_oss_120b,traj_005,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_005,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_006,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_007,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_008,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_009,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,30,30,30,1.0,True
