method_id,trajectory_id,checkpoint,change_detection_f1,change_detection_precision,change_detection_recall,changed_path_count,changed_state_accuracy,correct_cell_count,correct_change_f1,correct_change_precision,correct_change_recall,dynamic_path_count,dynamic_path_final_state_accuracy,evidence_citation_precision,evidence_hit_rate,exact_state_match,final_state_accuracy,status_accuracy,unchanged_path_count,unchanged_state_accuracy,value_accuracy
fc_openrouter_llama_4_maverick,traj_001,15,0.9090909090909091,0.8333333333333334,1.0,5,1.0,33,0.9090909090909091,0.8333333333333334,1.0,25,0.96,1.0,1.0,False,0.9705882352941176,0.9705882352941176,29,0.9655172413793104,0.9705882352941176
fc_openrouter_llama_4_maverick,traj_001,30,0.9090909090909091,0.8333333333333334,1.0,5,0.2,29,0.1818181818181818,0.16666666666666666,0.2,25,0.84,0.2,0.2,False,0.8529411764705882,0.9411764705882353,29,0.9655172413793104,0.9117647058823529
fc_openrouter_llama_4_maverick,traj_001,45,0.9090909090909091,0.8333333333333334,1.0,5,1.0,33,0.9090909090909091,0.8333333333333334,1.0,25,1.0,0.4,0.4,False,0.9705882352941176,1.0,29,0.9655172413793104,0.9705882352941176
fc_openrouter_llama_4_maverick,traj_001,60,0.7692307692307692,0.8333333333333334,0.7142857142857143,7,0.7142857142857143,31,0.7692307692307692,0.8333333333333334,0.7142857142857143,25,0.92,0.4,0.2857142857142857,False,0.9117647058823529,0.9705882352941176,27,0.9629629629629629,0.9117647058823529
fc_openrouter_llama_4_maverick,traj_001,75,0.625,0.8333333333333334,0.5,10,0.5,28,0.625,0.8333333333333334,0.5,25,0.8,0.4,0.2,False,0.8235294117647058,0.9411764705882353,24,0.9583333333333334,0.8235294117647058
fc_openrouter_llama_4_maverick,traj_001,90,0.7368421052631577,0.7,0.7777777777777778,9,0.3333333333333333,25,0.3157894736842105,0.3,0.3333333333333333,25,0.68,0.42857142857142855,0.3333333333333333,False,0.7352941176470589,0.8529411764705882,25,0.88,0.8235294117647058
fc_openrouter_llama_4_maverick,traj_001,105,0.6666666666666666,0.8,0.5714285714285714,14,0.35714285714285715,23,0.41666666666666663,0.5,0.35714285714285715,25,0.6,0.875,0.5,False,0.6764705882352942,0.8235294117647058,20,0.9,0.7058823529411765
fc_openrouter_llama_4_maverick,traj_001,120,0.7857142857142856,0.8461538461538461,0.7333333333333333,15,0.6,26,0.6428571428571429,0.6923076923076923,0.6,25,0.72,0.55,0.7333333333333333,False,0.7647058823529411,0.9411764705882353,19,0.8947368421052632,0.7647058823529411
fc_openrouter_llama_4_maverick,traj_001,135,0.7857142857142856,0.8461538461538461,0.7333333333333333,15,0.6,26,0.6428571428571429,0.6923076923076923,0.6,25,0.72,0.4,0.5333333333333333,False,0.7647058823529411,0.9411764705882353,19,0.8947368421052632,0.7647058823529411
fc_openrouter_llama_4_maverick,traj_001,150,0.7142857142857143,0.7142857142857143,0.7142857142857143,14,0.2857142857142857,20,0.2857142857142857,0.2857142857142857,0.2857142857142857,25,0.48,0.14285714285714285,0.14285714285714285,False,0.5882352941176471,0.7941176470588235,20,0.8,0.6470588235294118
fc_openrouter_llama_4_maverick,traj_001,165,0.7586206896551724,0.7857142857142857,0.7333333333333333,15,0.3333333333333333,21,0.3448275862068965,0.35714285714285715,0.3333333333333333,25,0.52,0.2222222222222222,0.26666666666666666,False,0.6176470588235294,0.8235294117647058,19,0.8421052631578947,0.7352941176470589
fc_openrouter_llama_4_maverick,traj_001,180,0.7333333333333334,0.7857142857142857,0.6875,16,0.3125,20,0.3333333333333333,0.35714285714285715,0.3125,25,0.48,0.21052631578947367,0.25,False,0.5882352941176471,0.8235294117647058,18,0.8333333333333334,0.7058823529411765
fc_openrouter_llama_4_maverick,traj_001,195,0.7741935483870968,0.8571428571428571,0.7058823529411765,17,0.47058823529411764,23,0.5161290322580646,0.5714285714285714,0.47058823529411764,25,0.6,0.2,0.23529411764705882,False,0.6764705882352942,0.9117647058823529,17,0.8823529411764706,0.7058823529411765
fc_openrouter_llama_4_maverick,traj_001,210,0.8125,0.8666666666666667,0.7647058823529411,17,0.47058823529411764,23,0.5,0.5333333333333333,0.47058823529411764,25,0.6,0.2857142857142857,0.23529411764705882,False,0.6764705882352942,0.9117647058823529,17,0.8823529411764706,0.7058823529411765
fc_openrouter_llama_4_maverick,traj_001,225,0.8387096774193549,0.9285714285714286,0.7647058823529411,17,0.5294117647058824,25,0.5806451612903226,0.6428571428571429,0.5294117647058824,25,0.64,0.25,0.29411764705882354,False,0.7352941176470589,0.9117647058823529,17,0.9411764705882353,0.7647058823529411
fc_openrouter_llama_4_maverick,traj_001,240,0.8125,0.8666666666666667,0.7647058823529411,17,0.35294117647058826,21,0.37500000000000006,0.4,0.35294117647058826,25,0.52,0.20833333333333334,0.29411764705882354,False,0.6176470588235294,0.8529411764705882,17,0.8823529411764706,0.6764705882352942
fc_openrouter_llama_4_maverick,traj_001,255,0.4347826086956522,1.0,0.2777777777777778,18,0.0,16,0.0,0.0,0.0,25,0.28,0.0,0.0,False,0.47058823529411764,0.8235294117647058,16,1.0,0.5
fc_openrouter_llama_4_maverick,traj_001,270,0.4166666666666667,0.8333333333333334,0.2777777777777778,18,0.0,15,0.0,0.0,0.0,25,0.28,0.0,0.0,False,0.4411764705882353,0.8235294117647058,16,0.9375,0.47058823529411764
fc_openrouter_llama_4_maverick,traj_001,285,0.4166666666666667,0.8333333333333334,0.2777777777777778,18,0.0,15,0.0,0.0,0.0,25,0.28,0.0,0.0,False,0.4411764705882353,0.7941176470588235,16,0.9375,0.47058823529411764
fc_openrouter_llama_4_maverick,traj_001,300,0.4347826086956522,1.0,0.2777777777777778,18,0.0,16,0.0,0.0,0.0,25,0.28,0.0,0.0,False,0.47058823529411764,0.8235294117647058,16,1.0,0.5
fc_openrouter_llama_4_maverick,traj_002,15,0.6666666666666666,0.5,1.0,1,1.0,33,0.6666666666666666,0.5,1.0,25,1.0,1.0,1.0,False,0.9705882352941176,1.0,33,0.9696969696969697,0.9705882352941176
fc_openrouter_llama_4_maverick,traj_002,30,0.5714285714285715,0.4,1.0,2,1.0,31,0.5714285714285715,0.4,1.0,25,0.96,1.0,1.0,False,0.9117647058823529,0.9705882352941176,32,0.90625,0.9117647058823529
